Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,Hotspot,Hotspot,PiStar,XXXXXXXB,XXXXXXXG,433.110000,OFF,0.000000,DV,OFF,88.5Hz,YES,Approximate,41.818333,12.715000,--:--
2,1 DV Liguria,Cast. Chiavarese,IR1DC,IR1DC  C,IR1DC  G,144.925000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,44.275833,9.527167,+1:00
2,1 DV Liguria,Lavagna Genova,IR1UAW,IR1UAW C,IR1UAW G,144.862500,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
2,1 DV Liguria,Lavagna Genova,IR1UAW,IR1UAW B,IR1UAW G,430.912500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
2,1 DV Liguria,Lavagna Genova,IR1UAW,IR1UAW A,IR1UAW G,1243.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.306000,9.374167,+1:00
2,1 DV Liguria,Borghetto Santo,IR1UGO,IR1UGO B,IR1UGO G,430.525000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.124833,8.254333,+1:00
2,1 DV Liguria,Borghetto Santo,IR1UGO,IR1UGO C,IR1UGO G,144.937500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.105833,8.231000,+1:00
2,1 DV Liguria,Genova,IR1DB,IR1DB  B,IR1DB  G,430.912500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.407000,8.961000,--:--
2,1 DV Liguria,Comeglio,IR1UBY,IR1UBY B,IR1UBY G,430.600000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.258000,9.502000,--:--
2,1 DV Liguria,San Giorgio,IQ1LY,IQ1LY  B,IQ1LY  G,433.450000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.087167,8.217500,--:--
2,1 DV Liguria,Montefreddo,IR1UFV,IR1UFV B,IR1UFV G,431.450000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,44.307167,8.337833,--:--
3,1 FM Liguria,Masone (GE),T,,,144.612500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.479167,--:--
3,1 FM Liguria,Pegli (GE),T,,,144.675000,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
3,1 FM Liguria,Rossiglione (GE),T,,,145.212500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,M.Telegrafo - Bu,T out,,,145.225000,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,Cilona - Busalla,T,,,145.312500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,0.000000,--:--
3,1 FM Liguria,M.Leco (GE),RV,,,145.437500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,M.Maggio (GE),T,,,145.437500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,Val Tanaro (IM),RV-1,RV 1,,145.575000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.145833,--:--
3,1 FM Liguria,M.Roveto-Busalla,RV-1a,,,145.587500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.604167,--:--
3,1 FM Liguria,M.Faudo (IM),R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.895833,--:--
3,1 FM Liguria,Genova,R1,R1,,145.625000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.395833,--:--
3,1 FM Liguria,Lorsica (GE),R1a,,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
3,1 FM Liguria,Cosseria (SV),R1a,,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.354167,--:--
3,1 FM Liguria,M.Bignone (IM),R2,,,145.650000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.854167,--:--
3,1 FM Liguria,Bardineto (SV),R2a,,,145.662500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.062500,--:--
3,1 FM Liguria,M.Beigua (SV),R3,R3,,145.675000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
3,1 FM Liguria,Tigullio (GE),R3a,R3A,,145.687500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.270833,--:--
3,1 FM Liguria,M.Figogna (GE),R4,,,145.700000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
3,1 FM Liguria,Sanremo (IM),R4,,,145.700000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.812500,--:--
3,1 FM Liguria,M.Fasce (GE),R5,,,145.725000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.395833,--:--
3,1 FM Liguria,Pizzo d'Evigno -,R5a,,,145.737500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.020833,--:--
3,1 FM Liguria,Rapallo (GE),R6,,,145.750000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.354167,--:--
3,1 FM Liguria,M.Tirasso - Alas,R6a,,,145.762500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.020833,--:--
3,1 FM Liguria,Dolcedo (IM),R7,,,145.775000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.895833,--:--
3,1 FM Liguria,Imperia,R7,,,145.775000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.895833,--:--
3,1 FM Liguria,Perinaldo (IM),R7a,R7A,,145.787500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,43.854167,--:--
3,1 FM Liguria,Finale Ligure (S,R7a,,,145.787500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.187500,--:--
3,1 FM Liguria,Cogorno (GE),RU0a,RU0A,,430.012500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.312500,--:--
3,1 FM Liguria,Cosseria (SV),RU1,,,430.025000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.354167,--:--
3,1 FM Liguria,M.Roveto - Busal,RU2,RU2,,430.050000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.604167,--:--
3,1 FM Liguria,Montegrosso Pian,RU2a,,,430.062500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.062500,--:--
3,1 FM Liguria,Spotorno (SV),RU3,,,430.075000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.187500,--:--
3,1 FM Liguria,San Nicolao (SP),RU3a,RU3A,,430.087500,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.270833,--:--
3,1 FM Liguria,M.Fasce (GE),RU5,,,430.125000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.395833,--:--
3,1 FM Liguria,M.Figogna (GE),RU6,,,430.150000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
3,1 FM Liguria,T. Marconi-Sestr,RU7,,,430.175000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.270833,--:--
3,1 FM Liguria,Finale Ligure (S,RU7,,,430.175000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.187500,--:--
3,1 FM Liguria,Santa Margherita,RU7a,RU7A,,430.187500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.354167,--:--
3,1 FM Liguria,Bardineto (SV),RU8,RU8,,430.200000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.187500,--:--
3,1 FM Liguria,Sant'Olcese (GE),RU11,,,430.275000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.479167,--:--
3,1 FM Liguria,Val Tanaro (IM),RU15a,RU15A,,430.387500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.145833,--:--
3,1 FM Liguria,M.Leco (GE),RU,,,430.462500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,Albenga (SV),RU,,,430.475000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.020833,--:--
3,1 FM Liguria,M.Maggio - Savig,RU,,,430.487500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,Val di Vara (SP),RU,,,430.575000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.354167,--:--
3,1 FM Liguria,M.Telegrafo - Bu,RU,,,430.625000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,M.Maggio - Savig,RU,,,430.837500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
3,1 FM Liguria,Pegli (GE),T,,,433.487500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
4,1 DV Piemonte,Pallanzeno,IZ1ZPJ,IZ1ZPJ B,IZ1ZPJ G,430.987500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,46.056667,8.262333,--:--
4,1 DV Piemonte,Alice Bel Colle,IR1UIV,IR1UIV B,IR1UIV G,430.875000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,44.725833,8.451167,--:--
4,1 DV Piemonte,M. Garne' TO,IR1UW,IR1UW  B,IR1UW  G,430.200000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.309167,7.418167,+1:00
4,1 DV Piemonte,Corio TO,IR1A,IR1A   B,IR1A   G,430.575000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.330000,7.546667,--:--
4,1 DV Piemonte,Arona,IW1GB,IW1GB  B,IW1GB  G,430.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.760000,8.549667,--:--
4,1 DV Piemonte,Grugliasco TO,IW1DGK,IW1DGK B,IW1DGK G,433.937500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.071833,7.598167,--:--
4,1 DV Piemonte,Verzuolo,IZ1RTF,IZ1RTF B,IZ1RTF G,431.550000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,44.604167,7.482167,--:--
4,1 DV Piemonte,Cantoira TO,IU1NSW,IU1NSW B,IU1NSW G,430.800000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.335333,7.390000,--:--
4,1 DV Piemonte,Prarostino TO,IW1GLE,IW1GLE B,IW1GLE G,435.025000,DUP-,5.000000,DV,OFF,88.5Hz,YES,Exact,44.865500,7.269500,--:--
4,1 DV Piemonte,Ceresole TO,IZ1DSJ,IZ1DSJ B,IZ1DSJ G,430.800000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.427167,7.246667,--:--
4,1 DV Piemonte,Ozzano,IR1UDI,IR1UDI B,IR1UDI G,430.025000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.122833,8.410167,--:--
4,1 DV Piemonte,Asigliano,IU1NPI,IU1NPI B,IU1NPI G,431.400000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.250000,8.440000,--:--
4,1 DV Piemonte,Lingotto,IU1KWK,IU1KWK B,IU1KWK G,434.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.042833,7.643500,--:--
5,1 FM Piemonte,Belforte Monferr,T,,,144.512500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.604167,--:--
5,1 FM Piemonte,Paroldo (CN),RV,RV,,145.487500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.437500,--:--
5,1 FM Piemonte,M. Cimolo (VCO),RV-1a,RV 1A,,145.587500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.979167,--:--
5,1 FM Piemonte,Cossato (BI),R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.562500,--:--
5,1 FM Piemonte,Cesana Torinese,R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.937500,--:--
5,1 FM Piemonte,Frassinetto (TO),R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.437500,--:--
5,1 FM Piemonte,Prarostino (TO),R0,,,145.600000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.854167,--:--
5,1 FM Piemonte,M. Mottarone (VC,R0a,R0A,,145.612500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.895833,--:--
5,1 FM Piemonte,Asti,R1a,R1A,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.895833,--:--
5,1 FM Piemonte,Aquila di Giaven,R2,R2,,145.650000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.020833,--:--
5,1 FM Piemonte,Roccaverano (AT),R2a,R2A,,145.662500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.770833,--:--
5,1 FM Piemonte,Pino Torinese (T,R4,R4,,145.700000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.020833,--:--
5,1 FM Piemonte,Alpe Colombino -,R4,,,145.700000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.020833,--:--
5,1 FM Piemonte,M.Dago-Nizza Mon,R4a,R4A,,145.712500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.687500,--:--
5,1 FM Piemonte,Susa (TO),R5,R5,,145.725000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.145833,--:--
5,1 FM Piemonte,Costigliole d'As,R5a,R5A,,145.737500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.812500,--:--
5,1 FM Piemonte,Bagnolo Piemonte,R6,,,145.750000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.770833,--:--
5,1 FM Piemonte,M.Moncucco (VCO),R6,,,145.750000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,46.104167,--:--
5,1 FM Piemonte,Fracconalto (AL),R6a,R6A,,145.762500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.604167,--:--
5,1 FM Piemonte,Sestriere (TO),R6a,,,145.762500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.979167,--:--
5,1 FM Piemonte,Torino,R6a,,,145.762500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.104167,--:--
5,1 FM Piemonte,M.Mottarone (VCO,R6a,,,145.762500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.854167,--:--
5,1 FM Piemonte,Stazzano (AL),R7,R7,,145.775000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.729167,--:--
5,1 FM Piemonte,Trontano (VCO),RU1,RU1,,430.025000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,46.104167,--:--
5,1 FM Piemonte,Mornasco (AL),RU2a,RU2A,,430.062500,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.645833,--:--
5,1 FM Piemonte,Mondovi' (CN),RU3,RU3,,430.075000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.354167,--:--
5,1 FM Piemonte,Asti,RU5,RU5,,430.125000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.895833,--:--
5,1 FM Piemonte,Corio (TO),RU6,RU6,,430.150000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.354167,--:--
5,1 FM Piemonte,M. Mottarone (VC,RU6a,RU6A,,430.162500,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.895833,--:--
5,1 FM Piemonte,Novi Ligure (AL),RU7,RU7,,430.175000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.770833,--:--
5,1 FM Piemonte,La Morra (CN),RU8a,RU8A,,430.212500,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.645833,--:--
5,1 FM Piemonte,M.Moncucco (VCO),RU8a,,,430.212500,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,46.104167,--:--
5,1 FM Piemonte,Acqui Terme (AL),RU9,RU9,,430.225000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.604167,--:--
5,1 FM Piemonte,Perosa Argentina,RU10,RU10,,430.250000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.937500,--:--
5,1 FM Piemonte,Serravalle (CN),RU10a,RU10A,,430.262500,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
5,1 FM Piemonte,Sampeyre (CN),RU11,RU11,,430.275000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.562500,--:--
5,1 FM Piemonte,Neviglie (CN),RU11a,RU11A,,430.287500,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.687500,--:--
5,1 FM Piemonte,Roccabruna (CN),RU12,RU12,,430.300000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.479167,--:--
5,1 FM Piemonte,Angrogna - Val P,RU12a,RU12A,,430.312500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.854167,--:--
5,1 FM Piemonte,Asti,RU13a,RU13A,,430.337500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.895833,--:--
5,1 FM Piemonte,Loazzolo (AT),RU13a,,,430.337500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.687500,--:--
5,1 FM Piemonte,Belforte M.to (A,RU14a,RU14A,,430.362500,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.604167,--:--
5,1 FM Piemonte,Bagnolo Piemonte,RU,RU,,430.425000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.770833,--:--
5,1 FM Piemonte,Colle di Rucas (,RU,,,430.450000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.604167,--:--
5,1 FM Piemonte,Bagnolo Piemonte,RU,,,430.600000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.770833,--:--
5,1 FM Piemonte,Torino,RU,,,430.612500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,45.104167,--:--
5,1 FM Piemonte,M.Malanotte  (CN,RU,,,430.650000,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.270833,--:--
5,1 FM Piemonte,Mombaruzzo (AT),RU,,,430.787500,DUP+,5.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.770833,--:--
5,1 FM Piemonte,Celle-Villardora,RU16a,RU16A,,431.237500,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.145833,--:--
5,1 FM Piemonte,Acqui Terme (AL),RU24,RU24,,431.425000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.687500,--:--
5,1 FM Piemonte,Coniolo (AL),RU25a,RU25A,,431.462500,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.145833,--:--
5,1 FM Piemonte,M.Mottarone (VCO,RU28,RU28,,431.525000,DUP+,1.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.895833,--:--
5,1 FM Piemonte,Ovada (AL),T,,,435.212500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,44.604167,--:--
6,2 DV Lombardia,Bollate Milano,IR2UFV,IR2UFV B,IR2UFV G,433.625000,DUP-,0.000000,DV,OFF,88.5Hz,YES,Exact,45.546167,9.111500,+1:00
6,2 DV Lombardia,Colico,IR2UGK,IR2UGK B,IR2UGK G,430.187500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,46.140667,9.258333,+1:00
6,2 DV Lombardia,Valcava,IR2UED,IR2UED B,IR2UED G,431.537500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.788833,9.513333,+1:00
6,2 DV Lombardia,Gallarate,IR2UEZ,IR2UEZ B,IR2UEZ G,431.612500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.681667,8.818000,--:--
6,2 DV Lombardia,Campo dei Fiori,IK2YYL,IK2YYL B,IK2YYL G,431.425000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.868167,8.773667,+1:00
6,2 DV Lombardia,M. Boletto,IR2UG,IR2UG  B,IR2UG  G,430.025000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.826167,9.100500,+1:00
6,2 DV Lombardia,Bernate Ticino,IR2UEI,IR2UEI B,IR2UEI G,430.950000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.467333,8.831000,+1:00
6,2 DV Lombardia,Lecco,IR2UDW,IR2UDW B,IR2UDW G,430.237500,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,45.777167,9.458167,+1:00
6,2 DV Lombardia,Gorgonzola,IZ2NBD,IZ2NBD B,IZ2NBD G,430.912500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.529000,9.339000,--:--
6,2 DV Lombardia,Abbiategrasso,IZ2LPW,IZ2LPW C,IZ2LPW G,144.762500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.405667,8.922667,--:--
6,2 DV Lombardia,Cornaredo,IK2UCJ,IK2UCJ B,IK2UCJ G,440.000000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.518167,9.007500,--:--
6,2 DV Lombardia,Lodi,IZ2DDY,IZ2DDY B,IZ2DDY G,430.012500,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.309833,9.505667,--:--
6,2 DV Lombardia,Sondrio,IR2UGU,IR2UGU B,IR2UGU G,430.200000,DUP+,1.600000,DV,OFF,88.5Hz,YES,Exact,46.185167,9.891167,--:--
6,2 DV Lombardia,Morbegno,IW2ESL,IW2ESL B,IW2ESL G,432.200000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,46.132167,9.581000,--:--
6,2 DV Lombardia,Caidate,IK2YYL,IK2YYL H,IK2YYL G,433.987500,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.752000,8.785500,--:--
6,2 DV Lombardia,Casina Biscia,IZ2VIT,IZ2VIT B,IZ2VIT G,433.050000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.584667,9.076500,--:--
6,2 DV Lombardia,Settimo,IZ2VTO,IZ2VTO B,IZ2VTO G,433.125000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.490000,9.020000,--:--
6,2 DV Lombardia,Gorgonzola,IK2MLV,IK2MLV C,IK2MLV G,144.875000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.520000,9.373333,--:--
6,2 DV Lombardia,Melegnano,IW2GUI,IW2GUI B,IW2GUI G,435.275000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.355333,9.375667,--:--
6,2 DV Lombardia,Gallarate,IR2UEZ,IR2UEZ A,IR2UEZ G,1297.275000,DUP-,6.000000,DV,OFF,88.5Hz,YES,Exact,45.681667,8.818000,--:--
6,2 DV Lombardia,Paullo,IZ2IUT,IZ2IUT B,IZ2IUT G,432.825000,DUP+,0.000000,DV,OFF,88.5Hz,YES,Exact,45.415000,9.402167,--:--
6,2 DV Lombardia,Tremalzo,IK2ISX,IK2ISX B,IK2ISX G,430.575000,DUP+,5.000000,DV,OFF,88.5Hz,YES,Exact,45.837667,10.691500,--:--
7,2 FM Lombardia,M.Pora (BG),T,,,144.650000,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,45.895833,--:--
7,2 FM Lombardia,Darfo (BS),T,,,145.212500,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,45.854167,--:--
7,2 FM Lombardia,Pigra - Valle d',T,,,145.350000,OFF,0.000000,FM,OFF,88.5Hz,NO,None,0.000000,45.937500,--:--
7,2 FM Lombardia,Gallarate (VA),RV-1a,,,145.587500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.687500,--:--
7,2 FM Lombardia,M.Maddalena (BS),R1,,,145.625000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.562500,--:--
7,2 FM Lombardia,Gravedona ed Uni,R1a,,,145.637500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,46.145833,--:--
7,2 FM Lombardia,M.Penice (PV),R2,,,145.650000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,44.770833,--:--
7,2 FM Lombardia,Corni di Canzo (,R2a,,,145.662500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.854167,--:--
7,2 FM Lombardia,Monte della Neve,R2a,,,145.662500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,46.479167,--:--
7,2 FM Lombardia,San Felice del B,R3a,,,145.687500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.604167,--:--
7,2 FM Lombardia,M.Rolla (SO),R3a,,,145.687500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,46.187500,--:--
7,2 FM Lombardia,Azzano S.Paolo (,R4,,,145.700000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.645833,--:--
7,2 FM Lombardia,Cigolino - Chiav,R4,,,145.700000,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,46.312500,--:--
7,2 FM Lombardia,M.Bisbino (CO),R4a,,,145.712500,DUP-,0.600000,FM,OFF,88.5Hz,NO,None,0.000000,45.854167,--:--
